date,store,product,brand,category,price
2026-07-29,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-07-29,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-07-29,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-07-29,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-07-29,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-07-29,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-07-29,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-07-29,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-07-29,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-07-29,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,6.25
2026-07-29,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-07-29,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-07-29,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-07-29,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-07-29,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-07-29,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-07-29,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-07-29,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-07-29,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
